PURE RECEIPT AGAINST PURCHASE DETAILS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Receipt No.,Supp Inv No,Supp Inv Date,Receipt Date,Creation Date,Receipt Qty,Org Name,Subinventory,BOE Date,SGST,CGST,IGST,SGST %,CGST %,IGST %,HSN Code,Rcpt Amt,Tax Amt,Rcpt Total,Vendor Name,Vendor No,Vendor Site,Vendor State,Vendor GST Number,Po Number,Po Date,Lot Number,Currency Code,Currency Rate,Rate Date,Po Term Days,Item Code,Item Description,Division,Product,Category,Sub-Category,UOM,Purchase Category,Po Unit Price,Po Quantity,Approved Date,Duties per Unit,Transporter Name,Wo Order No,Invoice Number,Invoice Accounted Status,GRN Created By,Claim Status
1069,CL26ERO-IN397,22-Sep-25,03-Oct-25,03-Oct-25,495,PPC - Kolkata New,SHED A,,0,0,24161.16592,0,0,18,38099190,134228.6996,24161.16592,158389.8655,COLOR CHEMICALS AND DYES LLP,11728,CCL-ERODE,Tamil Nadu,33AAJFC8404B1ZY,108151,22-Sep-25,100160-POI25081848,INR,1,,IMMEDIATE,MTDAHDCB00050131,PURONAL FIX PPW CONC,Performance Chemicals,Textile & Paper Division,Textile Pure,Dyeing Auxillary,KG,,271.16909,1000,22-Sep-25,,,,CL26ERO-IN397-104-70531,Accounted,"GOWTHAM B ,",Recovered
30815,,18-Oct-25,18-Oct-25,18-Oct-25,2,PPC - Madhavaram,SHED L,,0,0,0,0,0,0,38159000,70,0,70,PON PURE CHEMICAL INDIA PRIVATE LIMITED,16045,PPC-ENNORE DUTY,Tamil Nadu,33AACCP3026E1Z0,108308,24-Sep-25,194402,INR,1,,IMMEDIATE,TIIMSN001PUAD109,XR CATALYST XR CAT MP609,General Chemicals,GC2,PU Products,PU Additives,KG,,35,2,24-Sep-25,,,9219826,,,"Dinesh R,",GST Claim NA
4156,PO26ALT-IN175,29-Sep-25,06-Oct-25,06-Oct-25,6000,CCL - Tiruppur (PP),SHED G,,23381.8002,23381.8002,0,9,9,0,38099190,259797.78,46763.6004,306561.3804,PURE ORGANIC INDUSTRIES TRADING,25864,CCL-ERODE,Tamil Nadu,33AAFFP0932K1ZD,15389,29-Sep-25,101935 POI25092091,INR,1,,IMMEDIATE,MTDAHDCB00050075,PURONAL AR,Performance Chemicals,Textile & Paper Division,Textile Pure,Dyeing Auxillary,KG,,43.29963,7000,29-Sep-25,,,,PO26ALT-IN175-643-70786,Accounted,"Vijay R,",Recovered
10048,M01567,01-Oct-25,01-Oct-25,01-Oct-25,11020,PPC - Bhiwandi New,MKT B2B,,91741.5,91741.5,0,9,9,0,29025000,1019350,183483,1202833,SAGAR CORPORATION,17128,SAGAR-MUMB,Maharashtra,27AACHK2405B1ZX,196983,30-Sep-25,196983-01-10-2025,INR,1,30-Sep-25,90 days (Term date + 90),TDIHDN19000SM008,STYRENE MONOMER,General Chemicals,GC1,Basic Chemicals,Basic Chemicals,KG,Market-Packed,92.5,11020,01-Oct-25,,,,M01567,Accounted,"Prasanth Radhakrishnan,",Recovered
21187,PP26VAP-IN698,03-Oct-25,03-Oct-25,03-Oct-25,9540,PPC - Mumbai,Transport,,0,0,160606.419,0,0,18,29051220,892257.8832,160606.419,1052864.302,PON PURE CHEMICAL INDIA PRIVATE LIMITED,16045,PPC - Vapi,Gujarat,,108766,03-Oct-25,42-27-09-2025,INR,1,,IMMEDIATE,TDRMSN1600IPA014,ISO PROPYL ALCOHOL,General Chemicals,GC1,Basic Chemicals,Basic Chemicals,KG,,93.52808,9600,03-Oct-25,,,,,,"Prasanth Radhakrishnan,",Recovered
7717,PC26PZM-IN52,03-Oct-25,03-Oct-25,03-Oct-25,1880,POI - Alathur MFG,SHED A,,32018.15084,32018.15084,0,9,9,0,39073010,355757.2316,64036.30169,419793.5333,,,,,,12586,03-Oct-25,193626,INR,1,,IMMEDIATE,TRACMSBR00235008,EPOXY RESIN EPOTEC YD 128,Performance Chemicals,PNC Division,Resin - Aditya Birla,Aditya Birla Comm,KG,,189.23257,1880,03-Oct-25,,,,,,"Jaganathan.B,",Recovered
12694,2025-26/417,03-Oct-25,04-Oct-25,04-Oct-25,110,PPC - Bavla,SHED B,,9108,9108,0,9,9,0,73101090,101200,18216,119416,MITESH BARRELS,15044,MITE-VAPI,Gujarat,24AASFM0525C1ZM,195543,03-Sep-25,Bav - 195543-4-10-2025,INR,1,03-Sep-25,10 days (Term date + 10),PMSBRR0018KG0002,COATED RECON 18 KG MS BARREL,Packing Materials,Others,Others,,EA,,920,2000,05-Sep-25,,,,2025-26/417,Accounted,"GOWTHAM B ,",Recovered
7731,PC26MVM-IN121,04-Oct-25,06-Oct-25,06-Oct-25,38,POI - Alathur MFG,SHED C,,5164.426507,5164.426507,0,9,9,0,73101090,57382.51674,10328.85301,67711.36975,PURE CHEMICALS CO,26279,PCM - MADHAVARA,Tamil Nadu,33AAYFP5219Q1ZC,12591,04-Oct-25,22559-24.09.2025,INR,1,,IMMEDIATE,PMSBRN0018KG0001,NON COATED NEW 18 KG MS BARREL,Packing Materials,Others,Others,,EA,,1510.06623,70,04-Oct-25,,,,PC26MVM-IN121-845-70940,Unaccounted,"Jaganathan.B,",Recovered
320,,08-Oct-25,08-Oct-25,08-Oct-25,38,PCT - Puzhal Trading,SHED A,,0,0,0,0,0,0,39095000,28138.50068,0,28138.50068,PURE CHEMICALS CO,26279,PCT - MADHAVARA,Tamil Nadu,33AAYFP5219Q1ZC,9059,04-Oct-25,21013LE12-30.12.2024,INR,1,,IMMEDIATE,TTPCHDCB00050057,LUPRINTOL FIXING AGENT SE LIQ,Performance Chemicals,Textile & Paper Division,Textile,Printing Chemical,KG,,740.48686,38,04-Oct-25,,,,,,"Balaji.K,",GST Claim NA
1098,,08-Oct-25,08-Oct-25,08-Oct-25,20,PPC - Salem,SHED A,,0,0,0,0,0,0,34029099,17230.8076,0,17230.8076,PON PURE CHEMICAL INDIA PRIVATE LIMITED,16045,PPC- GUMMUDIPOO,Tamil Nadu,33AACCP3026E1Z0,108866,04-Oct-25,101484-POI250910028,INR,1,,IMMEDIATE,MVMPCCB20D500011,VOOKI FLOOR+SURFACE CLEANER 20 X 500ML,NPD,Vooki Division,Vooki Premium,Home and Office Care,BOX,,861.54038,20,04-Oct-25,,,,,,"Ramesh Anandhan,",GST Claim NA
3321,PS26TKT-IN960,04-Oct-25,07-Oct-25,07-Oct-25,300,PPC - Kappalur,SHED B,,2575.91988,2575.91988,0,9,9,0,38099190,28621.332,5151.83976,33773.17176,PON PURE SPECIALITY CHEMICAL PRIVATE LIMITED,25742,PST - Thervoyka,Tamil Nadu,33AALCP9560E1Z8,108869,04-Oct-25,99008-PPS25070775,INR,1,,IMMEDIATE,MTFCHDCB00050053,PURESOFT TERRY 50 LIQ,Performance Chemicals,Textile & Paper Division,Textile Pure,Finishing Chemical,KG,,95.40444,300,04-Oct-25,,,,PS26TKT-IN960-724-70969,Unaccounted,"GOWTHAM B ,",Recovered
20172,STG-G/25-26/1454,04-Oct-25,04-Oct-25,04-Oct-25,21100,PPC - Kandla Port (Duty Paid),CRL,,182304,182304,0,9,9,0,29012990,2025600,364608,2390208,SHIV TEXCHEM LIMITED,23477,SHIVTEX-ANKLESH,Gujarat,24AAICS8906N1ZS,196658,24-Sep-25,196658-STG-G-25-26-1454,INR,1,24-Sep-25,70 days (Term date +70),TDBNAX000HEPT022,MIXED HEPTANE,General Chemicals,GC1,Basic Chemicals,Basic Chemicals,KG,Market-Bulk,96,140000,24-Sep-25,,,,STG-G/25-26/1454,Accounted,"Jacob James Raja ,",Recovered
185,PP26PZT-IN1031,06-Oct-25,16-Oct-25,16-Oct-25,200,PPC - Hyderabad (Edgistify),SHED A,,0,0,2434.60224,0,0,18,34029099,13525.568,2434.60224,15960.17024,PON PURE CHEMICAL INDIA PRIVATE LIMITED,16045,PPC - Puzhal,Tamil Nadu,33AACCP3026E1Z0,108948,06-Oct-25,101237_PPS/25080872-06102025,INR,1,,IMMEDIATE,MVMPCBTHDD500207,VOOKI HEAVY DUTY TOILET BOWL CLEANER 500 ML,NPD,Vooki Division,Vooki Premium,Home and Office Care,EA,,67.62784,240,06-Oct-25,,,,,,"Prabakaran.M,",Recovered
4505,PC26ILM-IN286,06-Oct-25,09-Oct-25,09-Oct-25,150,PSM - Thervoykandigai MFG,SHED A,,816.129405,816.129405,0,9,9,0,38099190,9068.1045,1632.25881,10700.36331,PURE CHEMICALS CO MFG,24196,PCM-Illa-MFG,Tamil Nadu,33AACCP3026E1Z0,13082,06-Oct-25,DISC3000,INR,1,,IMMEDIATE,MTDAHDCN00005101,DISC001,Performance Chemicals,Textile & Paper Division,Textile Pure,Dyeing Auxillary,KG,,60.45403,150,06-Oct-25,,,,PC26ILM-IN286-845-71042,Unaccounted,"Godlin Vincent,",Recovered
3227,,06-Oct-25,06-Oct-25,06-Oct-25,25000,PPC - Ennore Port,EC-409,,0,0,0,0,0,0,29121930,1377857.52,0,1377857.52,ZHEJIANG CHEMICALS IMPORT AND EXPORT CORPORATION,20025,ZHEJ-ZHEJIANG,Other,UNREGISTERED,195922,09-Sep-25,195922,USD,88.7775,09-Sep-25,D/A 90 Days from BL / Shipment Date,TI14IBTK01250004,GLYOXAL 40%,Performance Chemicals,Raw  Material,Oil Field Chemicals,H2S Scavenger,KG,,0.624,25000,09-Sep-25,,,,HC25TI2T028-01,Accounted,"Ezhilarasan M ,",GST Claim NA
2378,CC26ERO-IN1970,07-Oct-25,13-Oct-25,13-Oct-25,10,PPC - Karur SP,SHED A,,491.952501,491.952501,0,9,9,0,38099170,5466.1389,983.905002,6450.043902,COLOR CHEMICALS,11727,CCC-ERODE,Tamil Nadu,33AAAFC6130F1Z4,108977,07-Oct-25,1912000885-31-07-2025,INR,1,,IMMEDIATE,TTFCPLCN00120204,PHOBOTEX REC,Performance Chemicals,Textile & Paper Division,Textile,Finishing Chemical,KG,,546.61389,10,07-Oct-25,,,,CC26ERO-IN1970-103-71060,Unaccounted,"Manikandan.J,",Pending Recovery
5048,GST/25-26/1282,04-Oct-25,08-Oct-25,08-Oct-25,300,PCM - Illalor MFG,Quarantine,,1071.45,1071.45,0,2.5,2.5,0,15159040,42858,2142.9,45000.9,SAFCO OILS,30351,CHNT-TDS-PUR1,Tamil Nadu,33AEFFS8636D1Z0,10050,27-Sep-25,GST2526 1282 04102025,INR,1,27-Sep-25,100% Advance,TD03MSTN00015186,RICE BRAN OIL,Performance Chemicals,Raw  Material,LMA,PURIT RPO,KG,,142.86,300,27-Sep-25,,,,GST/25-26/1282,Partial,"Sivakumar J,",Recovered
5050,HM1SE/00491/2526,26-Sep-25,08-Oct-25,08-Oct-25,200,PCM - Illalor MFG,Quarantine,,0,0,3312,0,0,18,38244090,18400,3312,21712,HIMADRI SPECIALITY CHEMICAL LIMITED,28129,HIMADRI-HOOGHLY,West Bengal,19AAACH7475H1Z9,9980,20-Sep-25,25APRP008 26092025,INR,1,20-Sep-25,100% Advance,TD12PPBG00020481,HIMPERSE 0401 POWDER,Performance Chemicals,Raw  Material,Textile Pure,Dyeing Auxillary,KG,,92,200,20-Sep-25,,,,HM1SE/00491/2526,Accounted,"Sivakumar J,",Recovered
4692,F22202503723,19-Sep-25,08-Oct-25,08-Oct-25,715,CCC - Tiruppur (KC),SHED B,,0,0,29601,0,0,18,34029011,164450,29601,194051,ARCHROMA INDIA PRIVATE LIMITED,10680,ARCHRO-GUJAR,Gujarat,24AALCA6844Q1Z0,55382,10-Sep-25,3511250059-19.09.2025,INR,1,10-Sep-25,45 days (Term date + 45),TTPRHDCB00055079,IMEROL PCJ LIQ,Performance Chemicals,Textile & Paper Division,Textile,Pretreatment,KG,,230,10010,10-Sep-25,,,,F22202503723,Accounted,"GOWTHAM B ,",Recovered
4693,F22202503944,25-Sep-25,08-Oct-25,08-Oct-25,2500,CCC - Tiruppur (KC),SHED B,,0,0,20700,0,0,18,39069090,115000,20700,135700,ARCHROMA INDIA PRIVATE LIMITED,10680,ARCHRO-GUJAR,Gujarat,24AALCA6844Q1Z0,55439,27-Sep-25,3511250346-25.09.2025,INR,1,27-Sep-25,45 days (Term date + 45),TTPRHDCB00100057,PRESTOGEN FCB IN LIQ C,Performance Chemicals,Textile & Paper Division,Textile,Pretreatment,KG,,46,2500,27-Sep-25,,,,F22202503944,Accounted,"GOWTHAM B ,",Recovered
5758,F22202503987,26-Sep-25,08-Oct-25,08-Oct-25,180,CCC - Tiruppur (PP),SHED A,,0,0,6156,0,0,18,38099190,34200,6156,40356,ARCHROMA INDIA PRIVATE LIMITED,10680,ARCHRO-GUJAR,Gujarat,24AALCA6844Q1Z0,55438,27-Sep-25,3511250084-26.09.2025,INR,1,27-Sep-25,45 days (Term date + 45),TTDAHDCB00060015,DRIMAGEN E4R LIQ,Performance Chemicals,Textile & Paper Division,Textile,Dyeing Auxillary,KG,,190,1020,27-Sep-25,,,,F22202503987,Accounted,"Prasanth Radhakrishnan,",Recovered
1081,F220252411027562,08-Oct-25,08-Oct-25,08-Oct-25,19600,PPC - Kolkata New,SHED A,,0,0,208152,0,0,18,29151100,1156400,208152,1364552,GUJARAT NARMADA VALLEY FERTILIZERS & CHEMICALS LIMITED,12866,BHAR-TDS-PUR1,Gujarat,24AAACG8372Q1Z2,197095,04-Oct-25,F220252411027562-08-10-2025,INR,1,04-Oct-25,3 days (Term date + 3),TDIHDN035FMAC007,FORMIC ACID,General Chemicals,GC1,Basic Chemicals,Basic Chemicals,KG,Domestic-Packed,59,19600,04-Oct-25,,,,F220252411027562,Accounted,"Jacob James Raja ,",Recovered
2369,CL26TKC-IN193,09-Oct-25,09-Oct-25,09-Oct-25,2,PPC - Karur SP,SHED A,,20.5360254,20.5360254,0,9,9,0,39069090,228.17806,41.0720508,269.2501108,COLOR CHEMICALS AND DYES LLP,11728,CCL-TIRUPUR-KC,Tamil Nadu,33AAJFC8404B1ZY,109166,09-Oct-25,61780-PPS23020053,INR,1,,IMMEDIATE,MTPCHDCB00120909,PUREPRINT BINDER PKS,Performance Chemicals,Textile & Paper Division,Textile(PTJ),Pureprint Chemicals,KG,,114.08903,2,09-Oct-25,,,,CL26TKC-IN193-104-71155,Unaccounted,"Manikandan.J,",Recovered
254,PC26ILM-IN291,09-Oct-25,13-Oct-25,13-Oct-25,300,POI - Hosur Mfg,SHED A,,9585,9585,0,9,9,0,39069090,106500,19170,125670,PURE CHEMICALS CO,26279,PCM - Illalor M,Tamil Nadu,33AAYFP5219Q1ZC,12607,09-Oct-25,2508110 30092025 11082027,INR,1,,IMMEDIATE,TD12PPBG00025334,HYSIZE NL,Performance Chemicals,Raw  Material,Textile Pure,Pretreatment,KG,,355,300,09-Oct-25,,,,PC26ILM-IN291-845-71181,Unaccounted,"Jaganathan.B,",Pending Recovery
21255,M09904,07-Oct-25,09-Oct-25,09-Oct-25,24530,PPC - Mumbai,SHED B,,200900.7,200900.7,0,9,9,0,29141200,2232230,401801.4,2634031.4,C J SHAH & CO.,11359,C.J.SHAH-MUM,Maharashtra,27AAAFC5600N1ZJ,197068,03-Oct-25,197068-09-10-2025,INR,1,03-Oct-25,70 days (Term date +70),TDBNAX0000MEK013,METHYL ETHYL KETONE,General Chemicals,GC1,Basic Chemicals,Basic Chemicals,KG,Market-Bulk,91,25000,04-Oct-25,,,FY-25-26-178,M09904,Accounted,"Prasanth Radhakrishnan,",Recovered
30625,PP26AEK-AZ1913,10-Oct-25,10-Oct-25,10-Oct-25,60,PPC - Madhavaram,Transport,,0,0,1041.196572,0,0,18,34029099,5784.4254,1041.196572,6825.621972,PON PURE CHEMICAL INDIA PRIVATE LIMITED,16045,PPC - Anekal Me,Karnataka,29AACCP3026E1ZP,109238,10-Oct-25,COMBO-11-09-25,INR,1,,IMMEDIATE,MVMPCBTHDD500009,VOOKI HARD STAINS SPRAY+WIPE 500ML,NPD,Vooki Division,Vooki Premium,Home and Office Care,EA,,96.40709,60,10-Oct-25,,,,,,"Jacob James Raja ,",Recovered
21261,494,09-Oct-25,10-Oct-25,10-Oct-25,21590,PPC - Mumbai,Transport,,162443.16,162443.16,0,9,9,0,29144000,1804924,324886.32,2129810.32,SATYAM PETROCHEMICALS,17370,SATY-SATARA,Maharashtra,27ABHFS7366K1ZH,196861,27-Sep-25,196861-494,INR,1,27-Sep-25,60 days (Term date + 60),TDBNAX0000DAA004,DI ACETONE ALCOHOL,General Chemicals,GC1,Basic Chemicals,Basic Chemicals,KG,Domestic-Bulk,83.6,175000,29-Sep-25,,,,494,Accounted,"Jacob James Raja ,",Recovered
11936,PC26MVT-IN5973,10-Oct-25,10-Oct-25,10-Oct-25,5,PPC - Bangalore,Transport,,0,0,685.902069,0,0,18,29153100,3810.56705,685.902069,4496.469119,PURE CHEMICALS CO,26279,PCT - MADHAVARA,Tamil Nadu,33AAYFP5219Q1ZC,109260,10-Oct-25,RE0021025,INR,1,,IMMEDIATE,MLPBRGIE001-3100,ETHYL ACETATE LR 10L,NPD,Lab Division,Lab Chemicals,LR,EA,,762.11341,100,10-Oct-25,,,,PC26MVT-IN5973-844-71213,Accounted,"GOWTHAM B ,",Recovered
4171,PP26KAR-IN797,10-Oct-25,13-Oct-25,13-Oct-25,35,CCL - Tiruppur (PP),SHED G,,825.9524595,825.9524595,0,9,9,0,39100020,9177.24955,1651.904919,10829.15447,PON PURE CHEMICAL INDIA PRIVATE LIMITED,16045,PPC - Karur SP,Tamil Nadu,33AACCP3026E1Z0,15452,10-Oct-25,99830_EM034884_22-07-2025_16-06-2026,INR,1,,IMMEDIATE,MTFCHDCB00035211,PURESOFT RS 1000 CONC,Performance Chemicals,Textile & Paper Division,Textile Pure,Finishing Chemical,KG,,262.20713,35,10-Oct-25,,,,PP26KAR-IN797-101-71220,Unaccounted,"Vijay R,",Pending Recovery
12743,SM/25-26/121,10-Oct-25,10-Oct-25,10-Oct-25,108,PPC - Bavla,SHED B,,10303.2,10303.2,0,9,9,0,73101090,114480,20606.4,135086.4,S.M.BARREL TRADING CO.,31225,AHM-TDS-PUR1,Gujarat,24AFJFS0280C2ZA,197038,03-Oct-25,Bav-197038-10-10-2025,INR,1,03-Oct-25,7 days (Term date + 7),PMSBRR0018KG0001,NON COATED RECON 18 KG MS BARREL,Packing Materials,Others,Others,,EA,,1060,432,04-Oct-25,,,,SM/25-26/121,Unaccounted,"Jacob James Raja ,",Recovered
20229,GJ/2526/204240,10-Oct-25,10-Oct-25,10-Oct-25,29010,PPC - Kandla Port (Duty Paid),CRL,,208219.275,208219.275,0,9,9,0,29051300,2313547.5,416438.55,2729986.05,RAMNIKLAL S GOSALIA & CO,16601,GNDM-TDS-PUR,Gujarat,24AADFR2284G1ZC,197287,07-Oct-25,197287-GJ-2526-204240,INR,1,07-Oct-25,70 days (Term date +70),TDBNAX0000NBA011,N-BUTANOL,General Chemicals,GC1,Basic Chemicals,Basic Chemicals,KG,Market-Bulk,79.75,64000,08-Oct-25,,,,GJ/2526/204240,Accounted,"GOWTHAM B ,",Recovered
9521,CL26TKC-IN200,13-Oct-25,16-Oct-25,16-Oct-25,1,PPC - Perundurai,SHED B,,144.0330876,144.0330876,0,9,9,0,32049000,1600.36764,288.0661752,1888.433815,COLOR CHEMICALS AND DYES LLP,11728,CCL-TIRUPUR-KC,Tamil Nadu,33AAJFC8404B1ZY,109339,13-Oct-25,9899,INR,1,,IMMEDIATE,MTPPHDCN00005138,PUREPRINT PINK FLUO FB E/C,Performance Chemicals,Textile & Paper Division,Textile(PTJ),Pureprint Pigments,KG,,1600.36764,1,13-Oct-25,,,,CL26TKC-IN200-104-71248,Unaccounted,"Rajkumar.S,",Pending Recovery
487,,16-Oct-25,16-Oct-25,16-Oct-25,1,PPC - HO Shenoy Nagar,SHED A,,0,0,0,0,0,0,62063090,729.61658,0,729.61658,PON PURE CHEMICAL INDIA PRIVATE LIMITED,16045,PPC - Sriper DD,Tamil Nadu,,109212,09-Oct-25,Alonge-13.04.24,INR,1,,IMMEDIATE,FTST065CAB0XS001,SWEATSHIRT-ST065-CARBON BLACK -XS,NPD,Alonge,Textile,TOP,EA,,729.61658,1,09-Oct-25,,,,,,"Prabakaran.M,",GST Claim NA
11705,PS26TKM-IN177,13-Oct-25,16-Oct-25,16-Oct-25,2,PCM - Madhavaram MFG,R&D LAB,,408.1567896,408.1567896,0,9,9,0,34049020,4535.07544,816.3135792,5351.389019,PON PURE SPECIALITY CHEMICAL PRIVATE LIMITED-MFG,26787,PSM - THERVOYKA,Tamil Nadu,33AALCP9560E1Z8,6330,13-Oct-25,7361,INR,1,,IMMEDIATE,TI06HDCB00018833,LIQUILUBE 404 E,Performance Chemicals,Raw  Material,Textile(PTJ),Pureprint Chemicals,KG,,2267.53772,2,13-Oct-25,,,22670,PS26TKM-IN177-904-71270,Unaccounted,"Dinesh R,",Pending Recovery
67,PP26AEK-AZ1948,13-Oct-25,16-Oct-25,16-Oct-25,48,PPC - Sonipat Flipkart,SHED A,,0,0,1943.991706,0,0,18,34029099,10799.95392,1943.991706,12743.94563,PON PURE CHEMICAL INDIA PRIVATE LIMITED,16045,PPC - Anekal Me,Karnataka,29AACCP3026E1ZP,109387,13-Oct-25,COMBO-13.10.2025,INR,1,,IMMEDIATE,MVMPCCB02D500001,VOOKI HARD STAINS SPRAY+WIPE 2 X 500ML,NPD,Vooki Division,Vooki Premium,Home and Office Care,BOX,,224.99904,48,13-Oct-25,,,,,,"Prabakaran.M,",Recovered
20242,1716,13-Oct-25,13-Oct-25,13-Oct-25,25450,PPC - Kandla Port (Duty Paid),CRL,,0,0,347010.75,0,0,18,29023000,1927837.5,347010.75,2274848.25,M/S MANGALYA CHEMICALS,22622,THANE-TDS-PUR,Maharashtra,27AAEPD1644H1Z2,197380,09-Oct-25,197380-001716,INR,1,09-Oct-25,70 days (Term date +70),TDBNAX0000TOL001,TOLUENE,General Chemicals,GC1,Basic Chemicals,Basic Chemicals,KG,Market-Bulk,75.75,60000,09-Oct-25,,,,1716,Accounted,"Prasanth Radhakrishnan,",RECOVERED
4177,PC26ILT-IN1627,14-Oct-25,16-Oct-25,16-Oct-25,510,CCL - Tiruppur (PP),SHED G,,5838.664059,5838.664059,0,9,9,0,35079010,64874.0451,11677.32812,76551.37322,PURE CHEMICALS CO,26279,PCT - Illalor T,Tamil Nadu,33AAYFP5219Q1ZC,15470,14-Oct-25,T367SHI004 25092025 24022026,INR,1,,IMMEDIATE,MTENHDCB00050016,PURONAL ANTIPEROX K,Performance Chemicals,Textile & Paper Division,Textile Pure,Enzymes,KG,,127.20401,510,14-Oct-25,,,,,,"Vijay R,",Pending Recovery
20254,STG-A/25-26/1781,14-Oct-25,14-Oct-25,14-Oct-25,36930,PPC - Kandla Port (Duty Paid),CRL,,93395.97,93395.97,0,9,9,0,29152100,1037733,186791.94,1224524.94,SHIV TEXCHEM LIMITED,23477,SHIVTEX-ANKLESH,Gujarat,24AAICS8906N1ZS,197130,06-Oct-25,197130-STG-A-25-26-1781,INR,1,06-Oct-25,70 days (Term date +70),TDBNAX000ACEA031,ACETIC ACID,General Chemicals,GC1,Basic Chemicals,Basic Chemicals,KG,Market-Bulk,28.1,120000,06-Oct-25,,,,,,"Prasanth Radhakrishnan,",Pending Recovery
30746,SI2511003150,10-Oct-25,15-Oct-25,15-Oct-25,3000,PPC - Madhavaram,Transport,,0,0,84240,0,0,18,39069060,468000,84240,552240,ARKEMA CHEMICALS (INDIA) PVT LTD,10709,ARKEMA-NAVI MUM,Maharashtra,27AAACC6482F1ZO,197327,08-Oct-25,197327-SI2511003150,INR,1,08-Oct-25,75 days (Term date + 75),TRAKMSBR00200004,ACRYLIC RESIN SYNOCURE 867S-60,Performance Chemicals,PNC Division,Resin - Arkema,Arkema,KG,,156,3000,08-Oct-25,,,,SI2511003150,Accounted,"GOWTHAM B ,",Recovered
2152,,15-Oct-25,15-Oct-25,15-Oct-25,25,PPC - Mumbai Port,JNPT,,0,0,0,0,0,0,32064990,45221.9904,0,45221.9904,CQV CO LTD,11808,CQV-KOREA,Other,UNREGISTERED,195814,08-Sep-25,195814,USD,88.7907,08-Sep-25,60 Days from BL / Shipment Date,TCCQCTCB00250185,A 801K-OP,Performance Chemicals,PNC Division,Paints & Coatings,CQV,KG,,20.48,25,08-Sep-25,,,,EX25-00783,Accounted,"Ezhilarasan M ,",GST Claim NA
4173,CC26PRD-IN229,15-Oct-25,15-Oct-25,15-Oct-25,5340,CCL - Tiruppur (PP),SHED G,,15206.184,15206.184,0,9,9,0,29152100,168957.6,30412.368,199369.968,COLOR CHEMICALS,11727,CCC-PERUNDURAI,Tamil Nadu,33AAAFC6130F1Z4,15483,15-Oct-25,194079,INR,1,,IMMEDIATE,TIBNAX000ACEA001,ACETIC ACID,General Chemicals,GC1,Basic Chemicals,Basic Chemicals,KG,,31.64,5340,15-Oct-25,,,,,,"Vijay R,",Pending Recovery
21310,F20026513603,15-Oct-25,15-Oct-25,15-Oct-25,18740,PPC - Mumbai,TANK 1,,132398.1,132398.1,0,9,9,0,29051220,1471090,264796.2,1735886.2,DEEPAK FERTILIZERS AND PETROCHEMICALS CORPORATION LTD,11950,DEEP-MUM,Maharashtra,27AAACD1388D1ZW,197075,04-Oct-25,197075-F20026513603,INR,1,17-Sep-25,90 days (Term date + 90),TDBNAX0000IPA001,ISO PROPYL ALCOHOL,General Chemicals,GC1,Basic Chemicals,Basic Chemicals,KG,Domestic-Bulk,78.5,300000,04-Oct-25,,,,F20026513603,Accounted,"Prasanth Radhakrishnan,",Recovered
7804,,16-Oct-25,16-Oct-25,16-Oct-25,50,CCL - Erode (VC),SHED A,,0,0,0,0,0,0,39095000,16597.542,0,16597.542,COLOR CHEMICALS AND DYES LLP,11728,CCL-TIRUPUR-KC,Tamil Nadu,33AAJFC8404B1ZY,15486,15-Oct-25,93916-PPS25050522,INR,1,,IMMEDIATE,MTPCHDCB00060312,PUREPRINT RM,Performance Chemicals,Textile & Paper Division,Textile(PTJ),Pureprint Chemicals,KG,,331.95084,50,15-Oct-25,,,,,,"Vigneshwaran Mookaiyan,",GST Claim NA
10147,PP26MDM-IN11879,15-Oct-25,15-Oct-25,15-Oct-25,2475,PPC - Malur,Transport,,0,0,39230.73,0,0,18,27101990,217948.5,39230.73,257179.23,PON PURE CHEMICAL INDIA PRIVATE LIMITED,16045,PPC-MADHAVARAM,Tamil Nadu,33AACCP3026E1Z0,109569,15-Oct-25,PPC-MAD-25-26-0234-09-10-2025,INR,1,,IMMEDIATE,TDRHDN165D145002,EXXSOL D145,General Chemicals,GC1,Differentiated,Exxon DP Grades,KG,,88.06,2475,15-Oct-25,,,,,,"GOWTHAM B ,",Recovered
2930,KT2521004547,29-Sep-25,15-Oct-25,15-Oct-25,1850,PPC - APL Malur,RM Store,,0,0,0,0,0,0,7310,0,0,0,ASIAN PAINTS LIMITED,10798,ASIAN-KOLAR,Karnataka,29AAACA3622K1ZR,122528,06-Jun-20,KT2521004677,INR,1,06-Jun-20,3 days (Term date + 3),JWPKP11951DA1G5L,A1 GOLD UNI THINNER INT TOP 5L TIN,MISC,,,,EA,,0,,30-Nov-24,,,,,,"Manikandan.S,",GST Claim NA
2932,KT2521004657,06-Oct-25,15-Oct-25,15-Oct-25,12000,PPC - APL Malur,RM Store,,0,0,0,0,0,0,7310,0,0,0,ASIAN PAINTS LIMITED,10798,ASIAN-KOLAR,Karnataka,29AAACA3622K1ZR,122528,06-Jun-20,KT2521004549,INR,1,06-Jun-20,3 days (Term date + 3),JWPKP11831YA1MPP,A1 MPP THINNER INT TOP 1L TIN,MISC,,,,EA,,0,,30-Nov-24,,,,,,"Manikandan.S,",GST Claim NA
