PURE RECEIPT AGAINST PURCHASE DETAILS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Receipt No.,Supp Inv No,Supp Inv Date,Receipt Date,Creation Date,Receipt Qty,Org Name,Subinventory,BOE Date,SGST,CGST,IGST,SGST %,CGST %,IGST %,HSN Code,Rcpt Amt,Tax Amt,Rcpt Total,Vendor Name,Vendor No,Vendor Site,Vendor State,Vendor GST Number,Po Number,Po Date,Lot Number,Currency Code,Currency Rate,Rate Date,Po Term Days,Item Code,Item Description,Division,Product,Category,Sub-Category,UOM,Purchase Category,Po Unit Price,Po Quantity,Approved Date,Duties per Unit,Transporter Name,Wo Order No,Invoice Number,Invoice Accounted Status,GRN Created By,Claim Status
20164,STG-P/25-26/2999,04-Oct-25,04-Oct-25,04-Oct-25,20830,PPC - Kandla Port (Duty Paid),CRL,,126542.25,126542.25,0,9,9,0,29023000,1406025,253084.5,1659109.5,SHIV TEXCHEM LIMITED,23477,SHIVTEX-ANKLESH,Gujarat,24AAICS8906N1ZS,195960,10-Sep-25,195960-STG-P-25-26-2999,INR,1,10-Sep-25,70 days (Term date +70),TDBNAX0000TOL001,TOLUENE,General Chemicals,GC1,Basic Chemicals,Basic Chemicals,KG,Market-Bulk,67.5,60000,10-Sep-25,,,,STG-P/25-26/2999,Accounted,"GOWTHAM B ,",Recovered
1164,,07-Oct-25,07-Oct-25,07-Oct-25,2000,PPC - Puzhal,Transport,,0,0,0,0,0,0,48191010,9001.9,0,9001.9,PON PURE CHEMICAL INDIA PRIVATE LIMITED,16045,PPC-MADHAVARAM,Tamil Nadu,33AACCP3026E1Z0,108899,04-Oct-25,279-03.05.2025,INR,1,,IMMEDIATE,PCBBNFPH00T22004,NARROW FLUTE PUNCHED HOLE PAD FOR THREE COMBO 500 ML (80X70X220 - OD),Packing Materials,Vooki,Carton Box,,EA,,4.50095,2000,04-Oct-25,,,,,,"Prasanth Radhakrishnan,",GST Claim NA
415,PP26PZT-IN1024,06-Oct-25,13-Oct-25,13-Oct-25,20,PPC - Begumpet(HYD),SHED A,,0,0,168.185268,0,0,18,34029099,934.3626,168.185268,1102.547868,PON PURE CHEMICAL INDIA PRIVATE LIMITED,16045,PPC - Puzhal,Tamil Nadu,33AACCP3026E1Z0,108915,06-Oct-25,99431_POI25061307 30-SEPT-25,INR,1,,IMMEDIATE,MVMPCBTHDD500016,VOOKI TOILET BOWL CLEANER 500ML,NPD,Vooki Division,Vooki Premium,Home and Office Care,EA,,46.71813,20,06-Oct-25,,,,,,"Jacob James Raja ,",Pending Recovery
7464,PP26BHW-IN4203,06-Oct-25,10-Oct-25,10-Oct-25,1,PPC - Cochin(Ptcz-TRD),SHED B,,0,0,24.0950844,0,0,18,38249900,133.86158,24.0950844,157.9566644,PON PURE CHEMICAL INDIA PRIVATE LIMITED,16045,PPC - Bhw New,Maharashtra,,108924,06-Oct-25,192675,INR,1,,IMMEDIATE,TPPPPPBG00025002,PURETONE 68,Performance Chemicals,PNC Division,Paints & Coatings,Puretone,KG,,133.86158,1,06-Oct-25,,,,,,"Kamaraj.P,",Recovered
7679,PO26HST-IN62,06-Oct-25,07-Oct-25,07-Oct-25,575,CCL - Erode (VC),SHED A,,566.9265688,566.9265688,0,2.5,2.5,0,35051090,22677.06275,1133.853138,23810.91589,PURE ORGANIC INDUSTRIES,16308,POT - Hosur Tra,Tamil Nadu,33AALCP9560E1Z8,15404,06-Oct-25,101724-POI25097494,INR,1,,IMMEDIATE,MTSCPGBG00025054,PURESIZE JET MAX MS,Performance Chemicals,Textile & Paper Division,Textile Pure,Sizing Chemical,KG,,39.43837,10000,06-Oct-25,,,,,,"Vigneshwaran Mookaiyan,",Recovered
7679,PO26HST-IN62,06-Oct-25,07-Oct-25,07-Oct-25,1000,CCL - Erode (VC),SHED A,,985.95925,985.95925,0,2.5,2.5,0,35051090,39438.37,1971.9185,41410.2885,PURE ORGANIC INDUSTRIES TRADING,25864,POT - Hosur Tra,Tamil Nadu,33AAFFP0932K1ZD,15404,06-Oct-25,101724-POI25097496,INR,1,,IMMEDIATE,MTSCPGBG00025054,PURESIZE JET MAX MS,Performance Chemicals,Textile & Paper Division,Textile Pure,Sizing Chemical,KG,,39.43837,10000,06-Oct-25,,,,,,"Vigneshwaran Mookaiyan,",Recovered
13832,PP26MDM-IN11448,06-Oct-25,06-Oct-25,06-Oct-25,50,PCT - Madhavaram Trading,UG 1,,381.33,381.33,0,9,9,0,29051220,4237,762.66,4999.66,PON PURE CHEMICAL INDIA PRIVATE LIMITED,16045,PPC-MADHAVARAM,Tamil Nadu,33AACCP3026E1Z0,9069,06-Oct-25,195320-271020000769,INR,1,,IMMEDIATE,TDBNAX0000IPA001,ISO PROPYL ALCOHOL,General Chemicals,GC1,Basic Chemicals,Basic Chemicals,KG,,84.74,50,06-Oct-25,,,6102025,PP26MDM-IN11448-101-71024,Unaccounted,"S VIBU,",Recovered
13832,PP26MDM-IN11448,06-Oct-25,06-Oct-25,06-Oct-25,15,PCT - Madhavaram Trading,UG 1,,88.884,88.884,0,9,9,0,29094100,987.6,177.768,1165.368,PON PURE CHEMICAL INDIA PRIVATE LIMITED,16045,PPC-MADHAVARAM,Tamil Nadu,33AACCP3026E1Z0,9069,06-Oct-25,6317,INR,1,,IMMEDIATE,TDBNAX0000DEG001,DI ETHYLENE GLYCOL,General Chemicals,GC1,Basic Chemicals,Basic Chemicals,KG,,65.84,15,06-Oct-25,,,6102025,PP26MDM-IN11448-101-71024,Unaccounted,"S VIBU,",Recovered
17092,PP26KKD-IN259,06-Oct-25,06-Oct-25,06-Oct-25,20240,PPC - Bonthapally(HYD),Transport,,0,0,269095.2771,0,0,18,29023000,1494973.762,269095.2771,1764069.039,PON PURE CHEMICAL INDIA PRIVATE LIMITED,16045,PPC - Kaki-DP,Andhra Pradesh,37AACCP3026E1ZS,108941,06-Oct-25,194413,INR,1,,IMMEDIATE,TIBNAX0000TOL009,TOLUENE,General Chemicals,GC1,Basic Chemicals,Basic Chemicals,KG,,73.86234,20240,06-Oct-25,,,PPC-HYD-25-26-0715,,,"Prasanth Radhakrishnan,",Recovered
8349,PP26PZT-IN1035,06-Oct-25,07-Oct-25,07-Oct-25,200,CCL - Tiruppur (KC),SHED A,,1945.8,1945.8,0,9,9,0,29221500,21620,3891.6,25511.6,PON PURE CHEMICAL INDIA PRIVATE LIMITED,16045,PPC - Puzhal,Tamil Nadu,33AACCP3026E1Z0,15415,06-Oct-25,0.00E+00,INR,1,,IMMEDIATE,TDIMSN232TE99007,TRIETHANOLAMINE 99,General Chemicals,GC1,Basic Chemicals,Basic Chemicals,KG,,108.1,200,06-Oct-25,,,,,,"Velmurugan.S,",Recovered
21230,M01334,06-Oct-25,07-Oct-25,07-Oct-25,19890,PPC - Mumbai,TANK 1,,140970.375,140970.375,0,9,9,0,29051220,1566337.5,281940.75,1848278.25,SANJAY CHEMICALS INDIA PVT. LTD.,17251,SANJ-MUM,Maharashtra,27AAFCS2929E1ZD,197021,03-Oct-25,197021-M01334,INR,1,03-Oct-25,70 days (Term date +70),TDBNAX0000IPA001,ISO PROPYL ALCOHOL,General Chemicals,GC1,Basic Chemicals,Basic Chemicals,KG,Market-Bulk,78.75,50000,03-Oct-25,,,,M01334,Accounted,"Prasanth Radhakrishnan,",Recovered
5044,2526/4154,22-Sep-25,07-Oct-25,07-Oct-25,45,PCM - Illalor MFG,Quarantine,,0,0,1579.5,0,0,18,29157090,8775,1579.5,10354.5,MOHINI ORGANICS PRIVATE LIMITED,24635,M-MOHINI-MUMB,Maharashtra,27AAACM3174G1ZL,9966,19-Sep-25,M250396 22092025,INR,1,19-Sep-25,30 days (Term date + 30),TD03HDCB00045396,MONECOL - 603,Performance Chemicals,Raw  Material,LMA,PURIT RPO,KG,,195,45,19-Sep-25,,,,2526/4154,Accounted,"Sivakumar J,",Recovered
7725,,08-Oct-25,08-Oct-25,08-Oct-25,50,CCL - Erode (VC),SHED A,,0,0,0,0,0,0,38099190,4181.9175,0,4181.9175,COLOR CHEMICALS AND DYES LLP,11728,CCL-TIRUPUR-KC,Tamil Nadu,33AAJFC8404B1ZY,15426,07-Oct-25,99049-VP012006011006,INR,1,,IMMEDIATE,MTDAHDCN00005061,PURONAL WASH 600 CONC,Performance Chemicals,Textile & Paper Division,Textile Pure,Dyeing Auxillary,KG,,83.63835,50,07-Oct-25,,,,,,"Vigneshwaran Mookaiyan,",GST Claim NA
3329,F22202503995,26-Sep-25,07-Oct-25,07-Oct-25,1000,PPC - Kappalur,SHED B,,0,0,34020,0,0,18,38099190,189000,34020,223020,ARCHROMA INDIA PRIVATE LIMITED,10680,ARCH-GUJ03,Gujarat,24AALCA6844Q1Z0,197216,06-Oct-25,3511250086 -26.09.25,INR,1,06-Oct-25,45 days (Term date + 45),TTDACTCN00100136,CYCLANON XCWI NEW LIQ,Performance Chemicals,Textile & Paper Division,Textile,Dyeing Auxillary,KG,,189,1000,06-Oct-25,,,,F22202503995,Accounted,"GOWTHAM B ,",Recovered
