item_code,item_name_clean,item_desc_original,uom,unit_size_ml,pack_qty,pack_type,units_per_box,item_group_clean,item_group_original,alt_item_groups,duplicate_rows_in_source,division
MVMPCBULKD250065,VOOKI TOUGH LIME SCALE SPRAY + SCRUB,VOOKI TOUGH LIME SCALE SPRAY + SCRUB,L,,1,BULK,,Tough Lime Scale Spray + Scrub,VOOKI TOUGH LIME SCALE SPRAY + SCRUB - NPD,,1,NPD
MVMPCCB20D500014,VOOKI TOUGH LIME SCALE SPRAY + SCRUB 20 X 500ML,VOOKI TOUGH LIME SCALE SPRAY + SCRUB 20 X 500ML,BOX,500.0,20,CASE,20.0,Tough Lime Scale Spray + Scrub,VOOKI TOUGH LIME SCALE SPRAY + SCRUB - NPD,,1,NPD
MVMPCBTHDD250084,VOOKI TOUGH LIME SCALE SPRAY + SCRUB 250 ML,VOOKI TOUGH LIME SCALE SPRAY + SCRUB 250 ML,EA,250.0,1,SINGLE_UNIT,20.0,Tough Lime Scale Spray + Scrub,VOOKI TOUGH LIME SCALE SPRAY + SCRUB - NPD,,1,NPD
MVMPCBTHDD500186,VOOKI TOUGH LIME SCALE SPRAY + SCRUB 500ML,VOOKI TOUGH LIME SCALE SPRAY + SCRUB 500ML,EA,500.0,1,SINGLE_UNIT,20.0,Tough Lime Scale Spray + Scrub,VOOKI TOUGH LIME SCALE SPRAY + SCRUB - NPD,,1,NPD
MVMPCBTHD0005196,VOOKI TOUGH LIME SCALE SPRAY + SCRUB 5LITERS,VOOKI TOUGH LIME SCALE SPRAY + SCRUB 5LITERS,EA,5000.0,1,SINGLE_UNIT,,Tough Lime Scale Spray + Scrub,VOOKI TOUGH LIME SCALE SPRAY + SCRUB - NPD,,1,NPD
MVMPCCP02D500005,BOGO OFFER | ACTIVE GERM SHIELD 500ML + HAND SANITIZER 60ML - DEFAULT TITLE,BOGO OFFER | ACTIVE GERM SHIELD 500ML + HAND SANITIZER 60ML - DEFAULT TITLE,BOX,500.0,1,SINGLE_UNIT,20.0,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP03D500016,COMBO OF 2 PACK HARD STAINS SPRAY+WIPE & 1 PACK DISINFECTANT CLEANER,Combo of 2 pack HARD STAINS SPRAY+WIPE & 1 pack DISINFECTANT CLEANER,BOX,,1,SINGLE_UNIT,,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP02D500006,COMBO | HARD STAINS SPRAY+WIPE & ACTIVE GERM SHIELD PACK OF 2,COMBO | HARD STAINS SPRAY+WIPE & ACTIVE GERM SHIELD PACK OF 2,BOX,,2,COMBO_DIFFERENT_ITEMS,,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP03D500038,"COMBO | NATURE POWERED DISHWASH, FLOOR + SURFACE CLEANER AND GLASS CLEANER PACK OF 3","COMBO | NATURE POWERED DISHWASH, FLOOR + SURFACE CLEANER AND GLASS CLEANER PACK OF 3",BOX,,3,COMBO_DIFFERENT_ITEMS,,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP02D500022,COMBO| VOOKI NATURE POWERED DISH WASH AND TOUGH LIMESCALE - SPRAY AND SCRUB,COMBO| VOOKI NATURE POWERED DISH WASH AND TOUGH LIMESCALE - SPRAY AND SCRUB,BOX,,1,SINGLE_UNIT,,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP02D500001,ELECTRONIC COMPONENTS CLEANER 500ML [PACK OF 2],ELECTRONIC COMPONENTS CLEANER 500ML [PACK OF 2],BOX,500.0,2,MULTIPACK_SAME_ITEM,20.0,Uniware Compo,Vooki Uniware  Compo,,1,NPD
MVMPCCP03D500011,FLOOR + SURFACE CLEANER 500ML [PACK OF 3] |,FLOOR + SURFACE CLEANER 500ml [Pack of 3] |,BOX,500.0,3,MULTIPACK_SAME_ITEM,20.0,Uniware Compo,Vooki Uniware  Compo,,1,NPD
