job,org,fg,cat,grp,outq,uom,lot,d,n_rm,val,file
142754,PSM - Thervoykandigai MFG,MTDABULK00000085,Performance Chemicals,Textile & Paper Division,1495.0,KG,142754 PPS26070815,2026-07-20,4,156046.66,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC5.xls
130844,POI - Alathur MFG,MVMPCBULKD250066,NPD,Vooki Division,1954.57,L,130844 POI26050883,2026-05-13,25,155717.65,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC2.xls
145741,PSM - Thervoykandigai MFG,MTPRBULK00000034,Performance Chemicals,Textile & Paper Division,6000.0,KG,145741,2026-07-21,4,148589.12,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC5.xls
129548,POI - Alathur MFG,MVMPCBULKD250058,NPD,Vooki Division,2942.1,L,129548 POI26040812,2026-04-30,13,148533.06,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC2.xls
131270,POI - Alathur MFG,MVMPCBULKD250066,NPD,Vooki Division,1942.8,L,131270 POI26050884,2026-05-22,25,147170.32,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC2.xls
129240,POI - Alathur MFG,MVMPCBULKD250058,NPD,Vooki Division,2942.15,L,129240 POI26040757,2026-04-24,13,147068.57,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC1.xls
158207,POI - Alathur MFG,MVMPCBULKD250066,NPD,Vooki Division,1972.03,L,158207 POI26080885,2026-08-05,25,147015.56,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC5.xls
132683,PPM - Gummudipoondi MFG,MPRCCBBX00020002,Performance Chemicals,LMA Division,50.0,BOX,132683 POI26050728,2026-06-19,4,145802.45,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC3.xls
158372,POI - Alathur MFG,MVMPCBULKD250066,NPD,Vooki Division,1940.7,L,158372 POI26081546,2026-08-10,25,144530.62,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC5.xls
134126,PSM - Thervoykandigai MFG,MCPCBULK00000261,Performance Chemicals,PNC Division,1000.0,KG,134126 PPS26070877,2026-07-18,2,139753.96000000002,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC4.xls
129797,PSM - Thervoykandigai MFG,MTPCHDBR00250875,Performance Chemicals,Textile & Paper Division,2520.0,KG,129797 PI2605065,2026-05-08,14,136918.14,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC2.xls
129141,POI - Alathur MFG,MTDABULK00000228,Performance Chemicals,Textile & Paper Division,1668.3,KG,129141 POI26050806,2026-04-20,5,136568.36000000002,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC1.xls
133292,PSM - Thervoykandigai MFG,MLSCBULK00000052,Performance Chemicals,Speciality Chemicals Division,960.0,KG,133292 BJ PPS26060775,2026-07-02,2,131751.09,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC4.xls
152779,PSM - Thervoykandigai MFG,MGCNAX000SPOH065,General Chemicals,GC2,685.0,KG,152779 PPS26070852,2026-07-22,9,129949.41,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC5.xls
132270,PSM - Thervoykandigai MFG,MGCMSN210PUSY005,General Chemicals,GC2,840.0,KG,132270 PPS26050635,2026-06-11,11,129763.47,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC3.xls
158566,PSM - Thervoykandigai MFG,MGCNAX000PUSY149,General Chemicals,GC2,857.0,KG,158566 BJ PPS26080955,2026-08-12,9,126422.11,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC5.xls
156747,PSM - Thervoykandigai MFG,MGCNAX000PUSY093,General Chemicals,GC2,989.0,KG,156747 BJ PPS26070903,2026-07-25,7,125447.88,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC5.xls
155744,PSM - Thervoykandigai MFG,MGCMSN210PUSY004,General Chemicals,GC2,849.0,KG,155744 PPS26070838,2026-07-23,9,125430.15,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC5.xls
130883,POI - Alathur MFG,MTDABULK00000228,Performance Chemicals,Textile & Paper Division,1507.0,KG,130883 POI26050808,2026-05-14,5,124719.66,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC2.xls
128459,PSM - Thervoykandigai MFG,MTPRBULK00000034,Performance Chemicals,Textile & Paper Division,6000.0,KG,128459 BJ PPS26040393,2026-04-04,4,124595.57,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC1.xls
133916,PSM - Thervoykandigai MFG,MGCMSN210PUSY004,General Chemicals,GC2,840.0,KG,133916 PPS26070838,2026-07-15,9,124453.62,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC4.xls
128385,PSM - Thervoykandigai MFG,MGCMSN210PUSY004,General Chemicals,GC2,840.0,KG,128385 PPS26050629,2026-04-03,9,124084.02,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC1.xls
128984,PSM - Thervoykandigai MFG,MTPRBULK00000034,Performance Chemicals,Textile & Paper Division,6000.0,KG,128984 BJ PPS26040426,2026-04-17,4,123806.84,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC1.xls
132178,PSM - Thervoykandigai MFG,MTPRBULK00000034,Performance Chemicals,Textile & Paper Division,6000.0,KG,132178 BJ PPS26060679,2026-06-09,4,122458.75,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC3.xls
133552,PPM - Puzhal MFG,MGCMSU230PUAD048,General Chemicals,GC2,-20.0,KG,133552 PUB2607069 07JUL2026,2026-07-07,1,119926.6,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC4.xls
156765,PSM - Thervoykandigai MFG,MGCNAX000PUSY096,General Chemicals,GC2,726.0,KG,156765 PPS26070797,2026-07-25,8,119854.66,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC5.xls
133737,PSM - Thervoykandigai MFG,MTFCBULK00000121,Performance Chemicals,Textile & Paper Division,1000.0,KG,133737 BJ PPS2606701,2026-07-11,3,119500.93,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC4.xls
133389,PSM - Thervoykandigai MFG,MGCNAX000PUSY096,General Chemicals,GC2,864.0,KG,133389 BJ PPS26060642,2026-07-04,8,115739.03,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC4.xls
131445,POI - Alathur MFG,MLPBRHDT003-AR00,NPD,Lab Division,353.0,KG,"131445 POI260520029, 131445 POI260520030, 131445 POI260520031, 131445 POI260520032",2026-05-25,3,114955.04000000001,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC3.xls
131040,PSM - Thervoykandigai MFG,MTPCBULK00000814,Performance Chemicals,Textile & Paper Division,987.0,KG,131040 BJ PPS26050566,2026-05-16,11,112540.77,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC2.xls
129532,PSM - Thervoykandigai MFG,MGCNAX000PUSY111,General Chemicals,GC2,858.0,KG,129532 BJ PPS26040490,2026-04-30,8,111677.93,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC2.xls
142760,PSM - Thervoykandigai MFG,MTPRBULK00000165,Performance Chemicals,Textile & Paper Division,1000.0,KG,142760,2026-07-20,4,111127.97,2026_27\Pure_MFG_Raw_Materials_Consump_200826_JC5.xls
132308,PSM - Thervoykandigai MFG,MOCSBULK00000058,Performance Chemicals,Speciality Chemicals Division,760.0,KG,132308 BJ PPS26060693,2026-06-11,6,110601.7,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC3.xls
128631,POI - Alathur MFG,MPCCBULK00000007,Performance Chemicals,PNC Division,985.2,KG,128631 POI26040670,2026-04-08,3,108678.33,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC1.xls
129085,POI - Alathur MFG,MLPBTGLK001-NA00,NPD,Lab Division,81.0,L,"129085 POI260420017, 129085 POI260420019",2026-04-18,4,108349.25,2026_27\Pure_MFG_Raw_Materials_Consump_150726_JC1.xls
